MonthYear,Year,Month,DepartmentID,CategoryID,BudgetedAmount
Jan-2023,2023,1,D01,C01,524724.07
Jan-2023,2023,1,D01,C02,479300.01
Jan-2023,2023,1,D01,C03,739196.37
Jan-2023,2023,1,D01,C04,331436.56
Jan-2023,2023,1,D01,C05,145527.83
Jan-2023,2023,1,D01,C06,145517.7
Jan-2023,2023,1,D01,C07,334850.17
Jan-2023,2023,1,D01,C08,443793.98
Jan-2023,2023,1,D01,C09,260390.25
Jan-2023,2023,1,D01,C10,377390.48
Jan-2023,2023,1,D02,C01,312350.7
Jan-2023,2023,1,D02,C02,487362.14
Jan-2023,2023,1,D02,C03,799465.58
Jan-2023,2023,1,D02,C04,169182.43
Jan-2023,2023,1,D02,C05,156366.49
Jan-2023,2023,1,D02,C06,157029.89
Jan-2023,2023,1,D02,C07,482545.35
Jan-2023,2023,1,D02,C08,300397.7
Jan-2023,2023,1,D02,C09,201180.76
Jan-2023,2023,1,D02,C10,202316.24
Jan-2023,2023,1,D03,C01,667111.74
Jan-2023,2023,1,D03,C02,138587.42
Jan-2023,2023,1,D03,C03,475286.79
Jan-2023,2023,1,D03,C04,233871.97
Jan-2023,2023,1,D03,C05,271549.39
Jan-2023,2023,1,D03,C06,409773.9
Jan-2023,2023,1,D03,C07,419804.27
Jan-2023,2023,1,D03,C08,295978.46
Jan-2023,2023,1,D03,C09,257345.1
Jan-2023,2023,1,D03,C10,99509.17
Jan-2023,2023,1,D04,C01,664526.91
Jan-2023,2023,1,D04,C02,151620.13
Jan-2023,2023,1,D04,C03,339030.96
Jan-2023,2023,1,D04,C04,478531.93
Jan-2023,2023,1,D04,C05,485565.45
Jan-2023,2023,1,D04,C06,419526.89
Jan-2023,2023,1,D04,C07,482768.26
Jan-2023,2023,1,D04,C08,121022.29
Jan-2023,2023,1,D04,C09,289481.56
Jan-2023,2023,1,D04,C10,264864.05
Jan-2023,2023,1,D05,C01,373222.94
Jan-2023,2023,1,D05,C02,287974.3
Jan-2023,2023,1,D05,C03,320633.11
Jan-2023,2023,1,D05,C04,461914.57
Jan-2023,2023,1,D05,C05,188687.59
Jan-2023,2023,1,D05,C06,358259.36
Jan-2023,2023,1,D05,C07,487026.65
Jan-2023,2023,1,D05,C08,298428.57
Jan-2023,2023,1,D05,C09,241348.6
Jan-2023,2023,1,D05,C10,157638.87
Jan-2023,2023,1,D06,C01,881750.78
Jan-2023,2023,1,D06,C02,405555.79
Jan-2023,2023,1,D06,C03,863699.36
Jan-2023,2023,1,D06,C04,455827.49
Jan-2023,2023,1,D06,C05,331117.99
Jan-2023,2023,1,D06,C06,467187.18
Jan-2023,2023,1,D06,C07,353095.5
Jan-2023,2023,1,D06,C08,162312.8
Jan-2023,2023,1,D06,C09,65829.55
Jan-2023,2023,1,D06,C10,216638.74
Jan-2023,2023,1,D07,C01,533206.37
Jan-2023,2023,1,D07,C02,193966.59
Jan-2023,2023,1,D07,C03,797242.51
Jan-2023,2023,1,D07,C04,229836.4
Jan-2023,2023,1,D07,C05,197992.49
Jan-2023,2023,1,D07,C06,307932.35
Jan-2023,2023,1,D07,C07,384554.53
Jan-2023,2023,1,D07,C08,416922.73
Jan-2023,2023,1,D07,C09,76092.73
Jan-2023,2023,1,D07,C10,494492.51
Jan-2023,2023,1,D08,C01,763346.86
Jan-2023,2023,1,D08,C02,163460.59
Jan-2023,2023,1,D08,C03,303313.27
Jan-2023,2023,1,D08,C04,422493.8
Jan-2023,2023,1,D08,C05,376880.08
Jan-2023,2023,1,D08,C06,386183.01
Jan-2023,2023,1,D08,C07,762762.21
Jan-2023,2023,1,D08,C08,111098.75
Jan-2023,2023,1,D08,C09,175463.0
Jan-2023,2023,1,D08,C10,128665.01
Feb-2023,2023,2,D01,C01,524724.07
Feb-2023,2023,2,D01,C02,479300.01
Feb-2023,2023,2,D01,C03,739196.37
Feb-2023,2023,2,D01,C04,331436.56
Feb-2023,2023,2,D01,C05,145527.83
Feb-2023,2023,2,D01,C06,145517.7
Feb-2023,2023,2,D01,C07,334850.17
Feb-2023,2023,2,D01,C08,443793.98
Feb-2023,2023,2,D01,C09,260390.25
Feb-2023,2023,2,D01,C10,377390.48
Feb-2023,2023,2,D02,C01,312350.7
Feb-2023,2023,2,D02,C02,487362.14
Feb-2023,2023,2,D02,C03,799465.58
Feb-2023,2023,2,D02,C04,169182.43
Feb-2023,2023,2,D02,C05,156366.49
Feb-2023,2023,2,D02,C06,157029.89
Feb-2023,2023,2,D02,C07,482545.35
Feb-2023,2023,2,D02,C08,300397.7
Feb-2023,2023,2,D02,C09,201180.76
Feb-2023,2023,2,D02,C10,202316.24
Feb-2023,2023,2,D03,C01,667111.74
Feb-2023,2023,2,D03,C02,138587.42
Feb-2023,2023,2,D03,C03,475286.79
Feb-2023,2023,2,D03,C04,233871.97
Feb-2023,2023,2,D03,C05,271549.39
Feb-2023,2023,2,D03,C06,409773.9
Feb-2023,2023,2,D03,C07,419804.27
Feb-2023,2023,2,D03,C08,295978.46
Feb-2023,2023,2,D03,C09,257345.1
Feb-2023,2023,2,D03,C10,99509.17
Feb-2023,2023,2,D04,C01,664526.91
Feb-2023,2023,2,D04,C02,151620.13
Feb-2023,2023,2,D04,C03,339030.96
Feb-2023,2023,2,D04,C04,478531.93
Feb-2023,2023,2,D04,C05,485565.45
Feb-2023,2023,2,D04,C06,419526.89
Feb-2023,2023,2,D04,C07,482768.26
Feb-2023,2023,2,D04,C08,121022.29
Feb-2023,2023,2,D04,C09,289481.56
Feb-2023,2023,2,D04,C10,264864.05
Feb-2023,2023,2,D05,C01,373222.94
Feb-2023,2023,2,D05,C02,287974.3
Feb-2023,2023,2,D05,C03,320633.11
Feb-2023,2023,2,D05,C04,461914.57
Feb-2023,2023,2,D05,C05,188687.59
Feb-2023,2023,2,D05,C06,358259.36
Feb-2023,2023,2,D05,C07,487026.65
Feb-2023,2023,2,D05,C08,298428.57
Feb-2023,2023,2,D05,C09,241348.6
Feb-2023,2023,2,D05,C10,157638.87
Feb-2023,2023,2,D06,C01,881750.78
Feb-2023,2023,2,D06,C02,405555.79
Feb-2023,2023,2,D06,C03,863699.36
Feb-2023,2023,2,D06,C04,455827.49
Feb-2023,2023,2,D06,C05,331117.99
Feb-2023,2023,2,D06,C06,467187.18
Feb-2023,2023,2,D06,C07,353095.5
Feb-2023,2023,2,D06,C08,162312.8
Feb-2023,2023,2,D06,C09,65829.55
Feb-2023,2023,2,D06,C10,216638.74
Feb-2023,2023,2,D07,C01,533206.37
Feb-2023,2023,2,D07,C02,193966.59
Feb-2023,2023,2,D07,C03,797242.51
Feb-2023,2023,2,D07,C04,229836.4
Feb-2023,2023,2,D07,C05,197992.49
Feb-2023,2023,2,D07,C06,307932.35
Feb-2023,2023,2,D07,C07,384554.53
